location,commodity,nearest_production_km,avg_production_distance_km,nearest_distribution_km,avg_distribution_distance_km,nearest_retail_km
Depok,Daging Ayam,,,2.447930496845281,44.79472315673303,9.075739947225209
Depok,Daging Sapi,,,2.447930496845281,44.79472315673303,9.075739947225209
Depok,Telur Ayam,,,2.447930496845281,45.61382397725324,0.9146866276405259
Depok,Minyak Goreng,,,2.447930496845281,45.61382397725324,0.9146866276405259
Depok,Gula Pasir,,,2.447930496845281,45.61382397725324,0.9146866276405259
Bekasi,Beras,5.43674390982537,133.30200281470005,2.6635662382833627,42.64524601530524,0.7337560075452536
Bekasi,Bawang Merah,,,2.6635662382833627,42.64524601530524,5.405765825244325
Bekasi,Bawang Putih,,,2.6635662382833627,42.64524601530524,5.405765825244325
Bekasi,Cabai,25.755591056300872,89.08475798117765,2.6635662382833627,42.64524601530524,5.405765825244325
Bekasi,Daging Ayam,,,2.6635662382833627,41.6922530403317,6.217336740969401
Bekasi,Daging Sapi,,,2.6635662382833627,41.6922530403317,6.217336740969401
Bekasi,Telur Ayam,,,2.6635662382833627,42.64524601530524,0.7337560075452536
Bekasi,Minyak Goreng,,,2.6635662382833627,42.64524601530524,0.7337560075452536
Bekasi,Gula Pasir,,,2.6635662382833627,42.64524601530524,0.7337560075452536
Bogor,Beras,1.9614010998628633,132.17585660658327,0.19379764133168106,55.86415826697323,0.14094028161532154
Bogor,Bawang Merah,,,0.19379764133168106,55.86415826697323,0.337474155113019
Bogor,Bawang Putih,,,0.19379764133168106,55.86415826697323,0.337474155113019
Bogor,Cabai,1.5622937016380694,84.9003180725976,0.19379764133168106,55.86415826697323,0.337474155113019
Bogor,Daging Ayam,,,0.19379764133168106,55.37149582625637,6.8646384181742945
Bogor,Daging Sapi,,,0.19379764133168106,55.37149582625637,6.8646384181742945
Bogor,Telur Ayam,,,0.19379764133168106,55.86415826697323,0.14094028161532154
Bogor,Minyak Goreng,,,0.19379764133168106,55.86415826697323,0.14094028161532154
Bogor,Gula Pasir,,,0.19379764133168106,55.86415826697323,0.14094028161532154
Bandung,Beras,4.464186103101122,85.03512005846392,1.0636784518732374,96.17755592538632,0.08955760406241677
Bandung,Bawang Merah,,,1.0636784518732374,96.17755592538632,3.5082840263031434
Bandung,Bawang Putih,,,1.0636784518732374,96.17755592538632,3.5082840263031434
Bandung,Cabai,10.606206249330747,21.518663011325824,1.0636784518732374,96.17755592538632,3.5082840263031434
Bandung,Daging Ayam,,,1.0636784518732374,97.24608488207195,2.4414054860959493
Bandung,Daging Sapi,,,1.0636784518732374,97.24608488207195,2.4414054860959493
Bandung,Telur Ayam,,,1.0636784518732374,96.17755592538632,0.08955760406241677
Bandung,Minyak Goreng,,,1.0636784518732374,96.17755592538632,0.08955760406241677
Bandung,Gula Pasir,,,1.0636784518732374,96.17755592538632,0.08955760406241677
